id,company,ticker,analyst,executive,question,answer,label,rater2_label,notes
30,Citi,C,"Ebrahim Poonawala, Bank of America (follow-up)","Gonzalo Lucchetti, CFO","(embedded in the source without a clean speaker break) ""Got it. And maybe just, Gonzalo, I think you talked about the USCC in the back half around revenue versus expenses. If you do not mind, double clicking on that in terms of the trend we should expect in the back half and just over a more longer period of time, what you expect on the revenue versus expense trajectories there.","Yes. No, thank you for the question. So think when you look at cards, there is a couple of things that stand out to me, and you can see them in the second quarter so that you can actually anchor them on numbers which you have seen. The first thing is we spoke about how the through the cycle return target for our cards business is low twenties. So the first principle for us is the returns discipline. Right?

And you can see that we are while we are investing, and I will talk about that more in a second, we are keeping that high focus on returns and the rigor, and this is true across our proprietary book, but also every single 1 of our partner relationships. And you have seen us Pam mentioned at Investor day, exit relationships that do not pass our return targets. So that discipline to me is super important. Even in a quarter where you can see our investment level you still can see a 22% return there high for our firm. The second piece is we spoke about our strategy.

And our strategy had 2 components, 2 big elements that we spoke about. 1 of them was the shift to what we call general purpose credit cards. that is been driven by the customer behavior. You see it in the drivers. If you look at the bottom at the bottom right side, of the cards page, is page 12, you can see the bifurcation of the drivers and that those are the customers telling us how their behavior is, you know, is driving the business. And you can see that already in our numbers, right? At the end of last year, 82% of our book was general purpose cards. This quarter, we are at 84%.

So over time, you are gonna continue to see us increase that purely because 1 is going to grow faster than the other. And the second leg is we said we were going to make investments Right? And now you are seeing that play through this quarter. And as I mentioned in my earlier remarks, you can expect that over the next few quarters, there is going to be a few quarters where the expense growth will be greater than the revenue and than the revenue growth. And you should know that we are comfortable with that because number 1, we are keeping the return focus very sharp. And number 2, we know that these investments pay off.

So this is a deliberate choice to invest in a high return in business while keeping that return focus in the forefront. And then last piece I will mention on investments, Some of what you are seeing remember, as a reminder, the investments in the card business, they play both in of expenses, but they also have a contra revenue component. Because a lot of the acquisition activity plays as a contra revenue. Right? And so what you are seeing us do is you are seeing us invest in acquisitions. You are seeing us invest in our product capabilities, into our client experience.

Into the loyalty and engagement, which is something that is key so that we can be top of wallet. As well as in our partnerships as we did with the Barclays portfolio as well. And so those key pieces are critical. You are seeing as co brand you know, airport lounges with American Airlines, into the US. You can already see in a few airports. So you are seeing us lean forward in a business that is high return. Thank you very much.",,,
31,Citi,C,"John McDonald, Truist","Gonzalo Lucchetti, CFO","Yes. Hi. Good morning. Gonzalo, could you remind us in terms of the capital target, you mentioned 12.6 for now. At Investor Day, you noted 13.1 by 2028 to accommodate, a higher G-SIB. But broader, what could lead that to be better along the way between, you know, potential rule changes, drug structural improvement for Citi, and maybe your own lowering of your own discretionary buffer. Can you give us some thoughts on the capital path, please.","Sure. Thanks very much, John, for the question. Good morning to you. So, yes, just to recap where we are in this quarter, we are at 12.8% CET 1 a 120 basis points above our regulatory requirement of 11.6 as you mentioned. And then maybe playing the and thank you also for reminding everyone about the 13.1 because of course, we embedded as far as capital assumptions for our return targets in the near and medium term equates to the reality and the regulatory regime that we are operating under today. Right? We do not we did not bake in any assumptions about what would like potentially.

So think you hit on, you know, a couple of those areas already, but let me, you know, piece them out a little bit. So, of course, we are waiting for the finalization of the rules as it relates to Basel 3. Fujisib and in particular the SUV. As I mentioned in the past, Basel III and G SIB provide us in our early analysis with a moderately net positive position and that emanates from, on the positive side, the GZ coefficient playing through.

As well as some of the RWA weights in retail and corporate and that is, you know, partially mitigated by the, you know, operating risk and, you know, the market's risk factors that I think lot of people are familiar with at this point. And so that could be 1 element that plays through. The second piece is the stress capital buffer. Stress capital buffer, there is a couple of vectors there. Right? 1 of them is of course, the final rules, and we think there should be you know, opportunities for us to benefit from that when they become final.

But importantly and more within our control and hopefully the DFAST results, if they do not take hold, really, for this year, and we will see on the back of the new rules in October 2027 the real changes hopefully, as a signal you can take away, and that is how we saw it, the 30 basis point improvement, the third year in a row of improvement of that SCB that came for us down from the 4.3% to the 3.6% that we are under right now and the DFAST results that just came out take it down to another 30 basis points through 3.3. That tells you that how the strategy is working. Right?

And we talked about this at investor day. Strategy work in terms of we have exited the international consumer franchises, number 1. Number 2, our PPNR position continues to sequentially improve year after year. So our loss absorption capacity improves. Even in the absence of any model enhancements that come out from the rules, you can see our strategy at work already also being a tailwind and we hope that those 2 factors will pay through an important role. Then to your last point on the buffer, I think, of course, we will wait until, you know, all 3 sets of rules are solidified to, you know, evaluate our position for now. We are comfortable where we are.

And we are managing to around that target of 100 basis points that we mentioned before. Thank you.",,,
32,Citi,C,"John McDonald, Truist (follow-up)","Gonzalo Lucchetti, CFO","Okay. And then maybe a follow-up on that. Is on the DTA utilization. Could you give some more color on what drove the nice step down in DTA this quarter? And just a reminder of the path that you are hoping to see over the next 2 years for that to come down from, I think, ending this year at $13 billion, going down to $7 billion","Thanks very much for the question. And we know that DTA is an area where we have to demonstrate the performance because the last couple of years, we have not consumed as much. But hopefully, you are starting to see a couple of dots there on the page. So just to recap, you know, briefly, our starting position at the end of last year $13.9 billion of the disallowed portion of the DTA. Our position right now is $13.4 billion. So year to date, we have consumed about $500 million of that As a reminder, there is carryback support that builds up in Q1 and then starts to wear off during the year.

So you have an element of that playing through. And then our US profitability that we disclosed last year was about $4 billion This year, we expect to make you know, good progress in that. And you heard, you know, from all my colleagues, the business heads, talk about it at investor day. And you are seeing it play through in second quarter. Right? When you look at the deposit growth in services, the 19%, a good portion of that growth comes from North America. When you are seeing the strong quarters in markets and banking, a good portion of activity in both of those businesses comes from The U. S. The improvement in returns from wealth, right?

Wealth coming from 7.7% to 10.8% to now 14.4 ROTCE. A good portion of that activity comes from the improvements in the affluent business, in the retail bank and across the franchise that are North America-centric. And then finally, of course, high returns in cards, which are also improving year on year. So all of those areas and the focus and I have spoken about before how Jane has made sure that we are all held accountable in our scorecards for this. We will hopefully over time you know, demonstrate to you through the numbers, you know, how that comes through. As I always say internally and I repeat it externally, you need 2 dots to draw a line.

So we are pleased to see the first dot here in the second quarter and we look forward to, you know, continue to demonstrate progress in this space. And sorry, final reminder, I guided earlier in the year that the full year target was $800 million of burn down of DTA. And so we have done $500 million of the $800 million year to date. Thank you.",,,
33,Citi,C,"Manan Goswami, Morgan Stanley","Jane Fraser, CEO","Hi. Good morning. Good afternoon. So for the elevated investment spend in the back half of the year, can you help us with any specifics there in terms of these specific investments you were planning to make in 2027 that you now have the opportunity to do in the back half of the year? And I guess, how quickly do you expect to see the returns of this higher investment spend does that give you the ability to get to the medium term targets maybe sooner than before?","So at investor day, we laid out the specific investments that we are making in quite a in quite a lot of detail. So we will be looking at what are the opportunities to pull some of those forward as we talked about, and it would be pretty well across the board. there is nothing specifically I also do want to emphasize these are we are not looking at anything inorganic. I think I have been very clear about that at Investor Day and in the last couple of earnings calls. When we are talking investments, these are purely organic.

Manan, just assume we are looking at a number of the different investments we talked about where we can pull them forward and as Gonzalo alluded to, if there is any severance and other pieces as we accelerate productivity gains, we will do so too.",,,
34,Citi,C,"Manan Goswami, Morgan Stanley (follow-up)","Jane Fraser, CEO","Got it. Thank you. And maybe if we can talk about pipeline in investment banking, clearly very strong performance here. I think you noted that M&A pipelines are strong, but if you can talk about in general how you are seeing revenue opportunities across that business as we look out into the next year or so?","Look. The level of activity is very strong. The pipeline is very healthy. And we are also in a financial market that is sort of looking for reasons to buy. I think the central CEO question right now across sectors is, do we invest for growth now, or are we preserving optionality? And AI is dominating a lot of the conversations, so tech, data center, energy, defense CapEx is accelerating. Companies are accessing the public equity and bond markets, alongside bank debt in size. SK Hynix for example, last week is another testament to that.

An offering, by the way, that we led Wherever there is a bottleneck, in that whole energy power compute memory we are seeing a lot of activity. So we have to see. We will probably have the summer lull as everyone takes a bit of a break. We will have midterms coming up, and the wildcard really is geopolitics. But we are certainly entering the second half with a good pipeline.",,,
35,Citi,C,"Jim Mitchell, Seaport Global","Jane Fraser, CEO","Hey, afternoon. Maybe just a follow-up on capital As you noted, the stress test, saw about 30 bps of improvement. Based on similar rules for last year. Seems like model enhancements are likely to lower the volatility in the SCB going forward and likely improve it And profitability is getting better. We will have more certainty on the other regulations. Is there a time when you start to question 100 basis point buffer, I guess, is my question? And can you can you run a thinner buffer and use that excess capital while your stock is still at the low tangible book multiple still kind of in the low 1, 1.5 range.","Let me reemphasize what Gonzalo said earlier. We are not looking at changing the buffer right now. there is quite a lot of uncertainty in the certainly, geopolitical and other environment, so we are not looking at changing it. But we are looking forward to the continued strengthening of our PPNR, the continued lower stress losses, and also getting the models to be an accurate reflection of our business. We think they overstate risk in a number of areas, Treatment of our DTA is a sizable example. Double counting of operational and market risk. Is also another area that has a sizable impact.

So the biggest upside is going to come from what we hope we will see, which is the new models coming out that are an accurate reflection of the actual risk, and that will have the biggest impact on SCB but until they are issued, we will not know. And obviously we hope G SIB will be addressed better than it has been in the initial proposal.",,,
36,Citi,C,"Jim Mitchell, Seaport Global (follow-up)","Gonzalo Lucchetti, CFO","Just on cards and consumer delinquency is down. Despite sort of fears, I guess, that many have had around rising inflation and the impact on the consumer. So what are you seeing in consumer credit and consumer behavior and does it look like these favorable trends are continuing?","Yes. Thank you. So I think a couple of thoughts there. First, we are seeing a stable credit environment. The US consumer is showing up as and I know it sounds like a broken record from, you know, a few quarters, but The US consumer has been resilient Right? And you can see that with the spend, Even if you take out in our spend the part of, you know, the Barclays American Airlines book, this quarter, you still see, you know, 6% to 7%, 7% and ex the gas inflation in the quarter. You are hearing around 6%. that is very healthy as it relates to the spend.

And in line or on the higher end versus the last few quarters. Then when you look at the delinquencies and the net credit losses, you can see that across the portfolios, right, both delinquency and credit losses are down year on year. So across another 4 key metrics. And when we look at our leading indicators of you know, collections and the usual pockets that you look at when you are trying to seek for stress. You are really seeing an environment that is, you know, stable.

As Jane mentioned in her remarks, you know, credit has been in line or better than our expectations. that is also why when we guided the range for this year, the 4 to 4.5, we anchored it on if you if you actually I know we use to look at the business with slightly different lens. But if you do the math, this is a lower range than the 1 we have had in the past and that is a reflection of what we are seeing in the environment.

And as you know, because of the right of rules, which are 180 and a 120 depending on the card or loan, we have a pretty decent sense as to what the rest of the year entails and we see that over stability. Again, subject to the watch outs. Right? And you mentioned some of them. Right? They watch out on inflation and what happens with that, which, I know we had a better read just now. Was the relationship between that inflation and the wages. Right, the savings rate impact on that for clients and ultimately unemployment, which has been relatively in equilibrium for the last few weeks. And so we are constantly looking at that.

But so far, it is it is it is a constructive environment. Thank you.",,,
37,Citi,C,"Erika Najarian, UBS","Jane Fraser, CEO","Hi. Thank you for taking my question. Just 1 follow-up. It was actually part of Manan's question. Heard you loud-- we are hearing you loud and clear in terms of the second half investment spend. I guess the question I wanted to reask is, you know, Jane, you are not focused on the waypoint. You are focused on the near term, which is 11 to 13% ROTCE. In 2027, 2028, and 14% to 15% medium term. You know, if sort of pulling forward the investment agenda Will that enable you to not just hit those return targets, but potentially be sort of in the, you know, better half of that range.

And additionally, does the consent order getting lifted free up additional expenses that you can reinvest back into the franchise?","Hey, Erika. Look. The outperformance possible outperformance that we have been seeing and the benefit, it allows us the optionality to invest or pull forward where that makes sense. You know, if we did not see accretive opportunities, we would, of course, let it play through the bottom line. And to the return side. But I think the message you should be taking away loud and clear is seeing opportunities to invest that will be driving you know, higher sustainable returns, and we are going to take advantage of that opportunity. Do not read anything more into it. And in terms of the consent order, the timing of the lifting is in the hands of the regulators. Not in ours.

The timing of taking expenses down is in ours. And we have begun to do so as we finish the different bodies of work, we take those expenses down, and those are helping us fund further investments into the businesses. So that is all going ticking along nicely.",,,
38,Citi,C,"David Chiaverini, Jefferies","Gonzalo Lucchetti, CFO",Thanks for taking the questions. So you had strong growth in deposits this quarter and good to see the cost of interest bearing deposits stable at 2.71%. How should we think about deposit costs going forward?,"Thanks very much, David, and good afternoon to you. I think when let me piece that out maybe between the 2 large businesses that are driving our deposit base. Right? So we have services. Where I was mentioning a little bit earlier, We were able to drive 19% growth year on year on average deposits and reaching our $1 trillion milestone there. And I mentioned a little bit briefly, but a good portion of those are operating deposits.

And so when you think about pricing and, you know, and rates and also what to expect, going forward, at least as based on what we are seeing as of now, is, yes, we have seen with an environment that is pointing to a bit higher for longer we have seen some catch up pricing. But as I mentioned earlier, the betas are well within our expectations. Right? So they are in line with what we thought they would be And the team has been Shamir and the team have been very disciplined on pricing. So what is pleasing for me to see and what gives me comfort is that we are not chasing, you know, low value deposit volume.

And that these share gains come from really driving those operating deposits across both international and North America. Now you look at the spread, in addition to the pricing dynamics, the more we grow North America, just because it is a more competitive market, not because you are giving away price, in relationship to international, you may see some mix factor playing a role there. But other than that, I think, you know, generally working well in line with expectations. Little bit of catch up, The team is all over the pricing, and we are comfortable that our competitive advantage, which is really driving those operating deposits across our payment network, really plays through.

On the wealth side, you know, similarly, Andy, you know, very thoughtful about pricing there. And the only highlight I would mention in terms of customer behavior that we, you know, we have to monitor for as it relates to how rates evolve especially if they go up is, you know, how much of those clients are seeking yield. And you do see pockets of customers seeking yield. Sometimes you may see it more as synthetic beta in terms of you know, mix shifting into time deposits. So we have a couple of pockets of that, but as you can see from the NII, pretty robust and generally spreads, you know, expanding in our business in wealth.

So comfortable with the position that we are in and what we are seeing there. And very important that we will keep discipline very thoughtfully. Thank you.",,,
39,Citi,C,"David Chiaverini, Jefferies (follow-up)","Gonzalo Lucchetti, CFO","Great. Thanks for that. And then shifting over to the services business, very strong growth and momentum this quarter at 18% year over year revenue growth. Can you frame this level of growth relative to your medium term outlook from the Investor Day of low to mid single digit? What might lead you to see slower growth towards that guide from Day.","Well, thanks for the question. it is a good question, David. And I think some version of that is, I think Shamir alluded to at Investor Day as well. I think there is a couple of factors that probably play a role into how we think about it over the longer range And 1 of the primary ones is the normalization of that deposit growth. Right? If you look at the deposit growth between 2022 and 2025, the annualized growth rate there was about 3%. So we are hitting and we are very pleased with the momentum, the commercial intensity, and the investments playing through.

We are seeing a growth spurt for the last several quarters right, that puts us in the position in Q2 at 19%. Now we do expect some normalization, right, as Shamir mentioned a little bit earlier, we are not expecting that we will grow at, you know, 4x to 5x money supply you know, over a long period of time. But at the same time, we continue to make investments, and we are pleased with the momentum that we are seeing in the drivers that underpin that NII.

On the NIR front, where this quarter services delivered 16%, and you are seeing there, a combination of the, you know, cross border transactions, right, and how customers are thinking about their supply chains and global commerce playing through. And at the same time, the work that we are doing on security services and how we are driving that And that obviously has an element of deposits, but has an element of AUCs and AUAs. And there you have a combination. You have alpha, of course, because we are you know, we have very good win rates on new mandates and deepening relations with existing clients. Some of those are public.

And we and there is also a pocket of beta with market valuations as well. So as you think through you know, the near term and remember, right, the 1 reminder for the near term and the medium term is that I mentioned this at, you know, a couple of months ago at Investor Days, we have planned for our returns and our targets to be delivered under a range of different environments. Right?

And 1 of the things that we are thoughtful about, we are not assuming right, just because we are sitting at a at a high part of the mountain with the sun shining and the wind on our backs, given how constructive the environment has been across the industry, we are not assuming that will perpetuate over the next few years. So we are looking and being thoughtful about for a range of outcomes, will still be able to deliver the returns and the growth that we promised. But if you ask me, there are scenarios where you could do better Yes. There are. But it is also partially market dependent. Thank you.",,,
40,Citi,C,"Vivek Juneja, JPMorgan","Gonzalo Lucchetti, CFO","Hi. Just a clarification. Gonzalo, you mentioned something about, you know, you were talking about expenses that historically revenues in markets have fallen in the second half versus first half. Keeping all the comments you are hearing from us back to pipeline is being very strong, which could continue to therefore drive probably market revenues to hold up better than expected. of a seasonal-- [connection broke up] ... historically, you have seen market revenues decline 20% in the second versus the first half.

Given the comments we are hearing from you as well as others about how pipelines and market conditions are looking very good, is that historical decline less, you know, less likely to occur as in the past, and therefore, the efficiency ratio increase that 1 has seen in the market business in the second half versus first half is probably that may be lesser given what is going on in the overall market environment, both the ITS as well as markets.","Well, thank you, Vivek. I the conversation was breaking up quite a bit, but I think I got good portion of it. So let me have a go, and you tell me if I answered your question or if I did not, if that is okay with you, because it was breaking up quite a bit. I think you asked-- just to recap, I think you asked a question on our view on the second half for markets.

And you were anchoring on my remarks around how historically we see a 20% decline or thereabouts between the second half and the first half And I thought 1 part of your question was, because you are seeing, you know, across the industry, and the client momentum being strong, would that be less of a decline this year right, versus what I said in my remarks? If I got that right, [Vivek confirms: Yes, that's right, sorry about the bad connection]

So know, it is first of all, it is very hard to take a position, especially in the markets business because you know that you know, from experience, that this can swing in a relatively short period of time to, you know, to a negative position for the industry as a whole. And so it is hard to look forward to 6 months or 5.5 months and say, you know, with certainty, it is going to land on 1 way or the other. The historical analysis tells us that 20% that I shared before. If you could take 1 point of view, it could be right, as highlighted in my remarks that first half has been very strong. Right?

So if that does not repeat, apples to apples, if the second half just putting seasonality to the side, if the environment is not as constructive in the second half as in the first half, you would expect a decline once you layer on the seasonality on top of it that could be worse than the 20% half on half. Now you could also, you know, take a different view and say, hey. If this continues to be disconstructed, right, where clients are very active you know, in the equity space, and we continue to see good momentum in spreads, and, you know, and currencies as we saw this quarter. And we see those pockets remain robust.

Could you be better than the 20%? it is not an impossibility either. Right? So I am not gonna sit here and tell you that is not possible. The historical tells us 20. First half was really strong. You will need to have, you know, an equally constructive set of external parameters in order to justify you know, narrowing that seasonal decline, I guess, is what I would say, if that makes sense.",,,
41,Citi,C,"Gerard Cassidy, RBC","Jane Fraser, CEO","Good afternoon, Jane. Hi, Gonzalo. Can Jane, can you share and Gonzalo, can you share with us your view of your-- excuse me. You at Citigroup, has a unique lens as a US domiciled bank on the global view. In your service business in particular, is obviously very engaged globally and had a very, very strong quarter. Can you share with us how are the companies being able to produce such strength in view of the geopolitical situation being fairly intense or elevated, is it because they have learned lessons from the pandemic and they are just better managed and more conservative. what is your guys take on the health of that global corporate customer?","Yeah. I mean, they I do believe that the global corporate client base that we serve has been the source of resiliency as well as growth. They have extremely strong balance sheets, and they have diversified revenue streams, so they are able to balance out tariffs and the various shocks that have come through. And everyone's just learned how to be very adept at supply chain repositioning and adjustments and to energy shocks and other elements coming through, and so they are just very adept at getting their business models to adapt swiftly to whatever is thrown at them, and we see that pretty consistently around the world.

If you are a European company, you have got very low growth in Europe. They are focused on The US and in Asia for growth. In The States, a lot of roads are leading here, so companies are getting a lot of growth from the multiple innovations that occurring in The States and the continued resiliency of The US consumer and China. Is deriving a lot of its strength from the export intensity, and Chinese companies growing rapidly abroad. And finally, the AI driven electronics upcycle is a genuine tailwind for many parts of Asia, so there is a lot of different dynamics here. That are really benefiting sort of the unique client base that Citi serves.

And that coming through in their growth as well as in their balance sheet strength.",,,
42,Citi,C,"Gerard Cassidy, RBC (follow-up)","Jane Fraser, CEO","And just tying into that, Jane, obviously, many of us on the call understand the environment in The US and the supportive regulatory environment when it comes to M and A. And this administration seems to be supportive of M and A. Do you see that in other parts of the world, governments being as supportive of facilitating business growth and allowing consolidation?","In a word, no. Europe is almost the opposite. They are not allowing the emergence of emerging market champions. You have seen much more national consolidation at best in Europe, which is a shame. We need Europe to be strong these days. And in Asia, you are seeing some but The US is unique in the American entrepreneurs' innovation the breadth and depth of the funding markets here in the investor base. I am as well as how much American companies are on the front foot in AI. And transformation, and that is also driving some of the boldness we see. it is a good it is a good environment.",,,
43,Citi,C,"Matt O'Connor, Deutsche Bank","Jane Fraser, CEO",Hi. You guys have successfully exited about a portion of Banamex and I think you said further exits would be after this year. Just wondering what the latest thoughts are on the timing and why not maybe sooner just given the positive macro backdrop and successful exit of half?,"Yeah. Thanks for the question, Matt. We do not expect any additional sales in 2026, and that is in 2010 It gives us and the new investor group the runway to drive value creation We are already seeing some of that performance kicked in. Gonzalo alluded to it to it in legacy franchise. Mexico has been improving in its performance. We expect to deconsolidate our ownership in early 2027, followed by an IPO as and when market conditions allow and further sell downs.",,,
44,Citi,C,"Matt O'Connor, Deutsche Bank (follow-up)","Jane Fraser, CEO / Gonzalo Lucchetti, CFO","Okay. And just remind us in terms of how much capital might still be freed up. Obviously, it is a little bit dependent on the valuation. You also have capital against the business. So maybe just give us a rough estimate and kind of current valuation, how much capital would be freed up to offset the earnings give up?","Yeah. And just before we get there, I do remind you when we do we will take a big CTA hit. That is capital neutral. So I am I do not I think that very much bears repeating for the beginning of 2027. But, Gonzalo, over to you.""

**Answer (Lucchetti):** ""Yes. Thank you. Now the short answer on the cap piece is around $5 billion. And the RWA tied up there is about almost $40 billion a little bit over $40 billion of RWA. Thank you.",,,
45,Citi,C,"Saul Martinez, HSBC","Jane Fraser, CEO / Gonzalo Lucchetti, CFO","Hi. Thanks for taking my question. So just 1 question. But I wanted to hover on the investment theme as it relates to the cards business. You know, you have you have invested there quite a bit. You rolled out Strata Card. You bought the Barclays portfolio. And but when I look at your business versus your best in class peers, Capital 1, Amex, their spending, I think, around $6 billion in marketing, Chase is in sort of that mid single digit billions in marketing. And I and I know there is there is some probably, some differences in terms of reporting and accounting classification.

But is it an acknowledgment that maybe you need to be more aggressive on promotions, marketing, campaign, benefits? And just how should we think about the magnitude of the incremental investment in the second half that you talked about going, you know, you mentioned expenses exceeding revenues, but that was already the case in this quarter, I think. So just is there any way to sort of think about, you know, the size of the headwind going forward? Or the size of the investment going forward?","Okay. Yep. Let me kick that 1 off. Yes. In short, we are going to be increasing our marketing spend and that is the scenario Pam laid out at Investor Day We are making investments across the flywheel, so it is in investing in our products, marketing for customer acquisitions, also in our partnerships. it is in our lifestyle platform. it is also importantly in AI to drive scale economics as well, and all of this will translate into growth, but you can expect us to be increasing marketing spend to drive that. Customer acquisition for the long term.

These things do not pay off quickly, and I also want to clarify the positive when you talked about the operating leverage, that is only in cards. it is not for the rest of the businesses.""

**Answer (Lucchetti):** ""Yes. Understood. Yeah. Absolutely and thanks. So I do not think I have much to add. I think Jane was very clear. We are we are not at this point, we are not providing guidance specifically on the level of investment in each of the businesses. Including cards, but as you know, and Jane just mentioned, this is a business that is built over several years It is what you highlight in terms of, you know, competitors really spending a lot. it is a highly competitive space.

Because, obviously, it is a space that allows you to access, you know, good returns We are pleased to be, you know, a number 3 or number 4 player depending on what metric you look at. I do not know. Outstanding spaces for number 3. And so our, you know, our focus, as we spoke about our investor day, is to really drive that growth. And make, you know, share gains over the near and medium term. And so we are focused on that. You can see us playing a combination of the portfolio acquisition with Barclays and American Airlines.

But also, even if you take that out, you are gonna see us you can see us-- you alluded to the strata portion of that, and there is a little more, you know, behind that as Jane just alluded to on the loyalty front and so on. So we are focused high returning business, and we know it will take some time. Thank you.",,,
46,Citi,C,"Chris McGratty, KBW","Jane Fraser, CEO","Thanks for fitting me in. Just on the wealth business on Slide 11, improvement in the pretax margins year on year is notable as is the NNA growth. Maybe a comment or 2 on what is changing. I know you are you are investing here heavily. Any color on recent wins would be great. Thanks.","Yeah. Look. I think it is it is not a lot of difference from what Andy laid out, at investor day. They are doing a very good job steadily translating growth into returns. So with revenues up 13% year on year, that is more like 16% normalized for those 1-timers. You are then seeing this translating into the higher returns. We have got a clear path to the 15% to 20% and we have got a number of different drivers beneath that. Be it the integration of the retail bank with wealth, helping us drive more of the customer conversion from deposits to also having wealth activity.

As well as what we are seeing from capturing wealth creation globally from our global network and the relationships we have got. So it is kind of firing on all cylinders as we steadily march to improving the returns and margin of the business. Thank you.",,,
47,Citi,C,"Kun Peng Ma, China Securities","Jane Fraser, CEO","Good day. it is from Boeing China Securities. Thank you for taking my for taking my question. I have a follow-up on the services business. For the very strong TTS rep not net interest income growth. I believe besides the deposit volume growth, there must be some tailwind from the higher for longer rate environment. Right? So you see it looks forward, if the if there is not if it is not higher for longer for the rate, you know, how can they forecast the mix of the of the TTS revenue growth in the future.

And also, can we have more detailed breakdowns geographically of the performance of the services business you know, be beyond The US, ex US scope. Because, you know, I am based in China. I can I can feel the very strong demand directly and personally for years? But, you know, this market state are also very competitive. Lot of competitors here. So it will be, you know, super helpful. If we can have some color on how city keep growing your market share here.","Thank you. Yep. Look. We are we are not gonna give a breakdown geographically for the business, but I it is very fair to say that this is clearly with the growth you are seeing, a business that is firing not only on all cylinders, but also in all geographies. What we If you look at the institutional market share gain, we are up 120 basis points year over year, I would also point to client wins. Client wins are up 36% year over year, We have been focusing on increasing share with asset managers That is up 250% and we have been increasing our share with fintechs. We have had growth of 20% there.

And a lot of the growth beyond the movements in rates has come from the innovation that we have been making in the product suite. Our clients choose Citi because we lead with innovation. And as we lean into disruption, they are all opportunities for us to lead. They are not threats to us. And so AI is opening up many new vectors of growth and also competitive edge. So in terms of as you are thinking about this business going forward, I think you can be feeling a lot of confidence about our continued momentum in fees, our continued momentum in volumes, and then the rates curve will be what the rates curve is.",,,
48,Trade Desk,TTD,"Shyam Patil, SIG","Jeffrey Green, CEO","Jeff, you described well the factors that you're seeing put pressure on the business from macro, pricing pressure, your own execution. If we shift to thinking about the remainder of this year, what are the top 2 or 3 priorities that you guys have to stabilize the business?","Thanks for the question, Shyam. So let me just first acknowledge that what we've shared in terms of our performance as well as our guide is below our expectations, and we don't think a reflection of the long-term potential. And I do worry that I -- that we don't want to overstate that while there are a couple of pockets that are under some amount of pressure, overall, the business is growing and overall, the -- every division or every sector that we represent of the economy, most of them are doing very well. And of course, we can't control the macro, but we're overall very positive.

So in terms of the things that we can control and the things that I'm most excited about and that we have to get right in order to do well going forward. First, we have to upgrade Kokai. And we'll -- as I mentioned, we'll launch [Zuma] later this month. And this represents substantial platform usability upgrades and helps us get the best out of AI, which we've already added.

Second, we just want to continue to innovate in some of our key products, and this is definitely not all of them, but some of them that we're most excited about and most focused on are our product and measurement, which just helps the biggest brands in the world see where incremental business outcomes are truly coming from. This will help us ascribe much better credit for what we're actually producing, which are, in most cases, dramatically understated today. We'll also ramp up Audience Unlimited. This has been in just early phases, but the early results have been remarkable. And to get that in the hands of a lot more customers, we think we'll just spin their flywheels even faster.

Measurement will spin everyone's flywheel faster on the platform. Audience Unlimited will do the same, and both of them are just in the hands of very few customers today, and the results are extremely positive. We're also -- we've also been introducing the concept of enterprise Kokai, where we have some massive growth rates with companies who negotiate the features upfront and then use every one of our products. We sometimes do this through JBPs, where, as you might recall from our prepared remarks, we have signed over 200 JBPs through Q2, which represents 38% year-over-year growth.

But JBPs grow at least this year at a rate 6x higher than overall revenue growth, which I just think might be the most bullish number that we can share and have shared today is that as we continue to double down on JBPs and getting closer to our partners and developing plans to grow well into the future that we see just a tremendous opportunity. To that end, we have a team that's just dedicated to growth, which, in some cases, is actually winning back customers that we've lost at some point. That team has grown their book of business over 250% year-over-year and is the fastest-growing individual team in our business development team.

And of course, of the top 100 accounts, the majority of them are actually growing in double digits, again, just underscoring that most parts of our business are in a very healthy place. And then the last thing, and I can't overstate the importance of this. We have added an amazing number of industry leaders to our leadership team. And most of them have been here a very short period of time. And so we, of course, are giving them the room to get things up to speed and to continue to help accelerate our growth. But in order for us to get back to growth, we, of course, need to help them get back up to speed.

And I look at that as important of any -- it is as important as any of the initiatives that I've talked about today. So we believe that all of these together, regardless of the macro environment, will position us to be even stronger and get back to more durable growth when the conditions change. Thanks for the question, Shyam.",,,
49,Trade Desk,TTD,"Vasily Karasyov, Cannonball Research","Nathan Olmstead, CFO","My question is for Nate. Given the outlook for Q3, which I think also means that weakness will persist into Q4, at least as well, how should we now think about your long-term profitability framework, how you approach that side of the business given the revenue trajectory? And what's your philosophy in terms of investment internally? Would appreciate your thoughts on this.","Yes, sure. Thank you for the question. Listen, I think we have a very long-term focus and continue to see great opportunity to drive long-term growth and profitability. I think in terms of the investment philosophy, as mentioned in the prepared remarks, we're going to invest with conviction in areas where we see attractive returns. I think importantly, we will be equally disciplined everywhere else. So we'll apply a lot of rigor to how we evaluate investments and then allocate resources. And I think if we do that well, we believe that we can drive stronger long-term growth and profitability. So stay tuned as this work progresses, we'll keep you updated on our long-term profitability framework and overall operating objectives.",,,
